reported,incident_type,occurred_start,occurred_end,location,street_address,city,disposition,comments,latitude,longitude
2/15/18 20:47,TRESPASSING,2/15/18 20:40,2/15/18 21:15,MEMORIAL HALL,18 KIRKLAND ST,CAMBRIDGE,ARREST,None,42.3758896,-71.1146851
1/14/18 12:58,SUSPICIOUS ACTIVITY,1/14/18 12:58,1/14/18 12:58,LOWELL HOUSE,1201 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,"Officers dispatched to a report of an individual in the courtyard area yelling. Officers arrived, located individual and sent them on their way. ",42.3706718,-71.118687
3/8/18 1:53,SUSPICIOUS ACTIVITY,3/8/18 1:53,3/8/18 1:53,KIRKLAND HOUSE A - SMITH HALL,95 DUNSTER ST,CAMBRIDGE,CLOSED,None,42.370854,-71.1204255
3/8/18 8:06,PROPERTY DAMAGE,3/8/18 8:06,3/8/18 13:00,HARVARD SAILING CENTER,45 MEMORIAL DR,CAMBRIDGE,CLOSED,None,42.360123,-71.08284239999999
3/8/18 10:24,SUSPICIOUS ACTIVITY,3/8/18 10:24,3/8/18 10:24,LONGWOOD CAMPUS OPERATIONS,180 LONGWOOD AVE,BOSTON,CLOSED,None,42.3356352,-71.1041786
3/8/18 13:20,SUSPICIOUS ACTIVITY,3/8/18 13:20,3/8/18 13:20,GORDON HALL,25 SHATTUCK ST,BOSTON,CLOSED,None,42.3356451,-71.104215
2/28/18 13:33,THEFT REPORT,2/28/18 13:06,2/28/18 13:13,CENTER FOR GOVT AND INTER STUD,1727 CAMBRIDGE ST,CAMBRIDGE,CLOSED,None,42.3756352,-71.1132118
1/30/18 7:14,TRESPASS WARNING,1/30/18 7:14,1/30/18 7:21,8-10 MT AUBURN ST,10 MT AUBURN ST,CAMBRIDGE,CLOSED,None,42.3701836,-71.1141368
1/30/18 8:47,UNWANTED GUEST,1/30/18 8:47,1/30/18 8:47,LIBRARY ARCHIVES,1280 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,None,42.379074,-71.11467
1/30/18 10:41,TRESPASS WARNING,1/30/18 10:20,1/30/18 10:43,GUTMAN LIBRARY,6 APPIAN WAY,CAMBRIDGE,CLOSED,None,42.37489069999999,-71.1217474
1/30/18 14:06,PROPERTY DAMAGE,1/25/18 8:00,1/25/18 16:15,DENTAL SCHOOL,188 LONGWOOD AVE,BOSTON,CLOSED,None,42.3361099,-71.1020461
1/9/18 10:18,SUSPICIOUS ACTIVITY,1/9/18 2:00,1/9/18 2:00,84 SEATTLE ST LOT,84 SEATTLE ST,ALLSTON,CLOSED,None,42.3612241,-71.1263305
2/8/18 13:20,THEFT REPORT,10/8/17 12:00,12/8/17 9:00,10 AKRON ST,10 AKRON ST,CAMBRIDGE,CLOSED,None,42.3656371,-71.1152429
1/10/18 8:13,TRESPASSING,1/2/18 14:55,1/2/18 15:15,BAKER- BLOOMBERG LIBRARY,25 HARVARD WAY,ALLSTON,CLOSED,Officer took a report of an unwanted guest who has an active trespass warning for all Harvard University property that was recently in the building. A complaint for trespassing is being sought in this case. ,42.3664077,-71.12279389999999
2/11/18 0:25,UNWANTED GUEST,2/11/18 0:25,2/11/18 0:25,AMERICAN REPERTORY THEATRE,2 ARROW ST,CAMBRIDGE,CLOSED,Officers dispatched to a report of unwanted guests in the building. Officers arrived and report individuals gone on arrival. ,42.3709361,-71.11433199999999
2/11/18 0:54,SUSPICIOUS ACTIVITY,2/11/18 0:54,2/11/18 0:54,THAYER HALL EAST,21 HARVARD YARD,CAMBRIDGE,CLOSED,Officers dispatched to a report of an individual yelling in the area. Officers arrived and report area quiet and individual gone on arrival. ,42.3743935,-71.11625719999999
2/11/18 3:10,ASSIST CAMBRIDGE POLICE,2/11/18 3:10,2/11/18 3:10,LAMPOON,44 BOW ST,CAMBRIDGE,CLOSED,Officers dispatched to a report of a noise complaint. Officers arrived and report club quiet. ,42.3715679,-71.1172089
2/11/18 12:00,ASSIST BOSTON POLICE,2/11/18 11:50,2/11/18 11:53,CVS,1241 BOYLSTON,BOSTON,CLOSED,Officer took a report over the phone of an individual that was arrested for armed robbery. ,42.34545689999999,-71.09574239999999
2/11/18 12:31,THEFT REPORT,2/11/18 0:01,2/11/18 13:00,RADCLIFFE CAMPUS DRIVE,45 SHEPARD ST,CAMBRIDGE,CLOSED,"Officer dispatched to take a report of a stolen HUID card, $60.00 in U.S. currency, a recovered stolen wallet valued at $30.00, a recovered stolen license, a recovered stolen social security card and recovered stolen credit/debit cards. ",42.3760832,-71.1219483
12/20/17 10:36,THEFT REPORT,12/19/17 17:00,12/20/17 10:00,CARPENTER CENTER,24 QUINCY ST,CAMBRIDGE,OPEN,None,42.3736458,-71.11426089999999
12/20/17 15:22,TRESPASS WARNING,12/14/17 12:00,12/15/17 16:00,NIEMAN FOUNDATION,1 FRANCIS AVE,CAMBRIDGE,CLOSED,None,42.37745169999999,-71.1121884
1/12/18 11:44,UNWANTED GUEST,1/12/18 11:44,1/12/18 11:44,LAW SCHOOL PROJECT OFFICES,125 MT AUBURN ST,CAMBRIDGE,CLOSED,None,42.3780901,-71.1188478
1/28/18 13:39,TRESPASS WARNING,1/28/18 13:39,1/28/18 13:50,HARVARD YARD - WIDENER GATE,42 HARVARD YARD,CAMBRIDGE,CLOSED,None,42.3730454,-71.0632583
2/14/18 4:03,FIELD INTERVIEW,2/14/18 4:03,2/14/18 4:40,CONANT HALL,36 OXFORD ST,CAMBRIDGE,CLOSED,"Officers dispatched to a report of an individual who doesn't seem to have authorization to be in the building. Officers arrived, located individual and conducted a field interview. The individual was allowed to be in the building as they were visiting their girlfriend who lives in the building. ",42.379462,-71.116246
2/14/18 23:03,UNWANTED GUEST,2/14/18 23:03,2/14/18 23:03,APLEY COURT,16 HOLYOKE ST,CAMBRIDGE,CLOSED,"Officer dispatched to a report of an unwanted guest sleeping at the front door. Officer arrived, located individual and sent them on their way. ",42.3723561,-71.1181357
1/31/18 15:31,DEMONSTRATION,1/31/18 15:30,1/31/18 16:30,MASSACHUSETTS HALL,11 HARVARD YARD,CAMBRIDGE,CLOSED,Officers dispatched to monitor a demonstration that went without incident. ,42.3748446,-71.11818339999999
1/17/18 8:11,MOTOR VEHICLE ACCIDENT,1/17/18 5:30,1/17/18 5:30,SCIENCE COMPLEX GARGAGE,140 WESTERN AVE,ALLSTON,CLOSED,None,42.363112,-71.125901
1/17/18 12:00,SUSPICIOUS ACTIVITY,1/12/18 17:45,1/17/18 10:50,WALLACH HOUSE,77 BRATTLE ST,CAMBRIDGE,CLOSED,None,42.37554129999999,-71.1228744
1/17/18 13:31,SUSPICIOUS ACTIVITY,1/17/18 13:31,1/17/18 13:31,TAUBMAN CENTER,15 ELIOT ST,CAMBRIDGE,CLOSED,None,42.3718197,-71.12207719999999
1/17/18 14:18,THEFT REPORT,1/17/18 14:15,1/17/18 14:15,RUBENSTEIN BUILDING,1 ELIOT ST,CAMBRIDGE,CLOSED,None,42.3726796,-71.1212269
2/16/18 8:34,THEFT REPORT,2/15/18 8:00,2/16/18 8:00,SPH - BUILDING 1 - 665 HUNTING,665 HUNTINGTON AVE,BOSTON,CLOSED,None,42.3355611,-71.1016066
2/12/18 16:13,SUSPICIOUS ACTIVITY,2/12/18 12:43,2/12/18 12:43,HOFFMAN LAB GEOLOGY,20 OXFORD ST,CAMBRIDGE,CLOSED,Officer dispatched to take a report of a suspicious phone call an individual received. ,42.37801229999999,-71.1159323
1/13/18 17:46,NOISE COMPLAINT,1/13/18 14:00,1/13/18 18:10,HOLDEN GREEN 303,303 HOLDEN ST,CAMBRIDGE,CLOSED,None,0,0
1/8/18 10:03,THEFT REPORT,1/4/18 11:00,1/4/18 12:00,HARVARD UNIVERSITY HEALTH SERV,75 MT AUBURN ST,CAMBRIDGE,CLOSED,None,42.37263979999999,-71.1186448
1/8/18 20:56,SUSPICIOUS ACTIVITY,1/8/18 20:56,1/8/18 20:56,NORTH HALL,1651 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,None,42.3813942,-71.1192145
2/9/18 7:27,SUSPICIOUS ACTIVITY,2/9/18 7:27,2/9/18 7:27,NORTH HALL LOT,1645 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,None,42.3894238,-71.120553
2/9/18 8:30,SUSPICIOUS ACTIVITY,2/9/18 8:30,2/9/18 8:30,EVERETT STREET GARAGE,27 EVERETT ST,CAMBRIDGE,CLOSED,None,42.3803336,-71.1177014
2/9/18 11:46,MOTOR VEHICLE ACCIDENT,2/9/18 10:20,2/9/18 10:30,PEABODY TERRACE GARAGE,125 PUTNAM AVE,CAMBRIDGE,CLOSED,None,42.3664266,-71.11413859999999
2/9/18 14:58,THEFT REPORT,2/9/18 14:42,2/9/18 14:42,PAINE HALL,3 OXFORD ST,CAMBRIDGE,CLOSED,None,42.3766831,-71.1176034
2/9/18 22:06,ASSIST BOSTON POLICE,2/9/18 21:40,2/9/18 22:50,SHATTUCK INTERNATIONAL HOUSE -,199 PARK DR,BOSTON,CLOSED,None,42.341385,-71.1003143
1/11/18 16:00,TRESPASS WARNING,1/11/18 15:45,1/11/18 16:15,114 WESTERN AVE LOT,114 WESTERN AVE,ALLSTON,CLOSED,Officer while on patrol observed an individual in the area who was unsteady on their feet and swaying from side as to assume they were under some type of drug. Officer approached the individual and conducted a field interview. The individual was run for wants/warrants with negative results. The individual was issued a verbal trespass warning for all Harvard University property and then transported to a medical facility by Pro Ambulance. ,42.3633164,-71.1244851
1/11/18 16:01,PROPERTY DAMAGE,1/11/18 8:30,1/11/18 14:00,SOUTH ST LOT,19 SOUTH ST,CAMBRIDGE,CLOSED,Officer dispatched to take a report of property damage done to a motor vehicle caused by an icicle. ,42.3714742,-71.1202129
